route,party name
PATTARIMEDU,KPS MALIGAI
KOLIKALNATHAM ROAD,SUTHA MALIGAI
KOLIKALNATHAM ROAD,RAMESH MALIGAI
KOLIKALNATHAM ROAD,SEGAR MALIGAI
COLONY,FIVE STAR MALIGAI
PATTARIMEDU,NARASIMMA BAKERY
VELLORE ROAD,NANTHINI MALIGAI
MANIKAM PALAYAM,OMSAKTHI BAKERY
KOLIKALNATHAM ROAD,GOUTHAM MALIGAI
KOLIKALNATHAM ROAD,RBK MALI GAI
KOLIKALNATHAM ROAD,SIVAKUMAR MALIGAI
SANTHAPETTAI,SRIDEVI MALIGAI
SANGAGIRI ROAD,THE GRAND SWEETS  AND CAKES
VELLORE ROAD,AASAI MALIGAI V
SIDTHA LANTHUR,LOGANATHAN MALIGAI
KOLIKALNATHAM ROAD,ILAGI MALIGAI
COLONY,SATHIS THINESH BAKERY
KANTHAM PALAYAM,SKV GIRLS CANTEEN
VELLORE ROAD,SM MALIGAI
SOLASIRAMANI MOLASI,ARUMUGAM MALIGAIS
KOLIKALNATHAM ROAD,ARASU MALIGAI
KOLIKALNATHAM ROAD,JEYAM MALIGAI KN
KUMARAMANGALAM,SRI SAKTHI SUPER MARKET
VELLORE ROAD,AMMAIAPPA IYANGAR BAKERY VR
MORE PALAYAM,NELLAI ARJANA MALIGAI SR
MANIKAM PALAYAM,HANI MITHRA BAKERY
THOKAVADI,NILA BAKERY
PATTARIMEDU,PALANIMUTHU MALIGAI
ELACHIPALAYAM,SRI SARAVANA MALIGAI
ANNANAGAR SPP COLNY,SIVASAKTHI MALIGAI
DEVANAKURUCHI,VASANTHI MAKIGAI
SIDTHA LANTHUR,NELLAI ANGELS MALIGAI
PAVADI STREET,CHITRA MALIGAI
MORE PALAYAM,MAKKAL MALIGAI
EAST CAR STREET,ELAGOVAN MALIGAI
KOLIKALNATHAM ROAD,KUMARAGURU BAKERY
KANTHAM PALAYAM,ROYAL BAKERYK
SALEM ROAD,KANNAN DIPPARTMENT TWO
KOKRAYANPETAI,RAJASRI BAKERY
PAVADI STREET,SEENI MALIGAI
PUTHOOR THONDIKAD,SRI VELAVAN STORES
KUMARAMANGALAM,VVMK TEA STAL
SANTHAPETTAI,CITRA MALIGAI
PUTHOOR THONDIKAD,SIVASOORIYA MEDICAL
SIDTHA LANTHUR,GOLDEN BAKERY
MANIKAM PALAYAM,BALAJI SUPER MARKET
KANTHAM PALAYAM,BLACK BAKES TEA STAL
KOOTAPPALLI,VENGATESVARA BAKERY
ELACHIPALAYAM,MUGAVAI MALIGAI E
THOKAVADI,SELVAM MALIGAI KSR
THOKAVADI,SRI AMMAN MALIGAI TV
KOOTAPPALLI,SM STORES K
KUMARAMANGALAM,KANNAN MEDICAL
DEVANAKURUCHI,THOOTHUKUDI STORES
KOKRAYANPETAI,RAMASAMY MALIGAI
KOKRAYANPETAI,PUVEELI STORES
VELLORE ROAD,KVN MALIGAI
VELLORE ROAD,JEYALAKSHIMI BAKERY
KOOTAPPALLI,NANA NANI RESTARAND
THOKAVADI,ANDAVR MEDICAL
KOKRAYANPETAI,MARUTHI MALIGAI
KUMARAMANGALAM,PANDIAN MALIGAI
THOKAVADI,VINAYAGA MALIGAI
THOKAVADI,MEENACHI MALIGAI T
MANIKAM PALAYAM,SPK STORES
SOLASIRAMANI MOLASI,JAYAKUMARAN MALIGAIE
NORTH CAR STREET,BEST ENTERPRISES
SOLASIRAMANI MOLASI,SRI VINAYAGA DIPPARTMENT
ANNANAGAR SPP COLNY,DAMEGE
SOLASIRAMANI MOLASI,JAYAKUMARAN MALIGAI
ANNANAGAR SPP COLNY,NELLAI JKB MALIGAII
THOKAVADI,KOBIGA DIPPARTMEND
DEVANAKURUCHI,ARUN MALIGAI
KOKRAYANPETAI,KOIL KADAI
KOKRAYANPETAI,MUGAVAI MALIGAIK
VELLORE ROAD,ABU MALIGAI
SANTHAPETTAI,FRANCE BAKERY
VELLORE ROAD,SANTHIYA BAKERI
ANNANAGAR SPP COLNY,MATHI IYANGAR BAKERY
PATTARIMEDU,BALUSAMY MALIGAI
DEVANAKURUCHI,NANDHI STORES
ANNANAGAR SPP COLNY,MAIN STOCK2
THOKAVADI,KAVITHA MALIGAI
SOLASIRAMANI MOLASI,SRI VINAYAGA MEDICALS
ANNANAGAR SPP COLNY,SELVI STORES
ELACHIPALAYAM,NAZRINE MALIGAI
SIDTHA LANTHUR,SENTHUR DIPPARTMENT
ELACHIPALAYAM,NISHA MALIGAI
THOKAVADI,MURUGAN TEA STAL
KUMARAMANGALAM,SRS MART
SOLASIRAMANI MOLASI,SELVAVINAYAGA MALIGAI
SOLASIRAMANI MOLASI,SIVASAKTHI SSS BAKERY
ELACHIPALAYAM,SS BAKERY
ANNANAGAR SPP COLNY,CHENNAI HAT POPS
ETTIMADI,RATHNAVEL MALIGAI
KANTHAM PALAYAM,NEW NITHYANANDAN STORES
ANNANAGAR SPP COLNY,RAMASAMY MALIGAI SPP
KUMARAMANGALAM,JEYAHASINI MALIGAI
PATTARIMEDU,AS MALIGAI
MORE PALAYAM,THANGAM MEDICAL
KUMARAMANGALAM,NELLAIRANI MALIGAI
KUMARAMANGALAM,KMS MALIGAI
KANTHAM PALAYAM,SKM MALIGAI
VELLORE ROAD,ANBU MALIGAI
THOKAVADI,AMMAN MALIGAI OINS
SOLASIRAMANI MOLASI,INBARAJA  MALIGAI
VELLORE ROAD,HAPPY BAKERY
ANNANAGAR SPP COLNY,NEW NELLAI STORES SPP
DEVANAKURUCHI,SAMUTHAYA KOOTAM
VELLORE ROAD,MAHALACHIMI BAKERY VK
COLONY,JEYA MEDICAL
COLONY,GUNASEGARAN XEROX
SOLASIRAMANI MOLASI,NANTHINI MALIGAI S
KOKRAYANPETAI,JUM JUM HANITHA MALIGAI
SALEM ROAD,SRI MAYURA BAKERY TWO
ETTIMADI,SAMY MALIGAI
SOLASIRAMANI MOLASI,BMS MALIGAI
KOKRAYANPETAI,SANA BAKERY AP
PATTARIMEDU,SINDHU MEDICAL RS
MANIKAM PALAYAM,SWEETS BAKERS
MANIKAM PALAYAM,KPM MALIGAI
MORE PALAYAM,SKS MALIGAI
THOKAVADI,BASUBATHI BAKERY
SOUTH CAR STREET,HOTEL SARAVANABAVAN
SALEM ROAD,JUM JUM MASLIGAI
SIDTHA LANTHUR,INDIAN STORESS
SIDTHA LANTHUR,NELLAI MATHA STORES
SIDTHA LANTHUR,S MART SUPER MARKET
PUTHOOR THONDIKAD,NAKSATHIRA MALIGAI
THOKAVADI,SAKTHIVEL MALIGAI
DEVANAKURUCHI,SANA BAKERY DK
DEVANAKURUCHI,DEELIPAN MALIGAI
THOKAVADI,SK PHARMACY G
PUTHOOR THONDIKAD,KURINJI BAKERY TWO
MANIKAM PALAYAM,GK STORES
KUMARAMANGALAM,KONGU PALAKADAI ONE
MANIKAM PALAYAM,BALAMURUGAN STORES
MANIKAM PALAYAM,GOLDEN BAKERYM
PAVADI STREET,KOOTUBAY MALAR NILAYAM
SIDTHA LANTHUR,KAVIN MALIGAI TWO
ANNANAGAR SPP COLNY,SRI VINAYAGA MEDICALL
